"path_absoluto","nome_arquivo","extensao","tamanho_bytes","data_criacao","data_modificacao","sha256","tipo_classificado"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\_DORA-roi-of-ai-assisted-software-development-2026.pdf","_DORA-roi-of-ai-assisted-software-development-2026.pdf",".pdf","49169060","2026-05-25 02:30:20","2026-05-25 02:30:23","5F4F6A3DFC906C0DA51FBDBA95F01AC560302BF7DCF531A073167BC0D05A33C2","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\2025_dora_ai_capabilities_model.pdf","2025_dora_ai_capabilities_model.pdf",".pdf","9241786","2026-05-25 02:31:35","2026-05-25 02:31:35","1D9541E728B6E402000C9D468E2CDCE54CE3B2D6447D509CDB2B8AC40C193AAF","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Verificação rápida da DORA.pdf","DORA _ Verificação rápida da DORA.pdf",".pdf","530106","2026-05-25 02:32:23","2026-05-25 02:32:23","C4F2BDFCD244D0BEE84E93C1BF4DD210A46950BAEFF413974BA95C44588852E3","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Métricas de desempenho de entrega de software da DORA.pdf","DORA _ Métricas de desempenho de entrega de software da DORA.pdf",".pdf","690703","2026-05-25 02:34:28","2026-05-25 02:34:28","29564B660B373CB35F325B02C1167A701F4284372C5AE5E4AF137463C60A65F7","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Pesquisa.pdf","DORA _ Pesquisa.pdf",".pdf","552086","2026-05-25 02:35:36","2026-05-25 02:35:36","00C039D69107913F07DF8A97FCB662B4A68D4993FC7FDB1F5EB4EDAF8DC40328","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\the-roi-of-devops-transformation-google-cloud-dora.pdf","the-roi-of-devops-transformation-google-cloud-dora.pdf",".pdf","1092264","2026-05-25 02:36:03","2026-05-25 02:36:03","156704F3ED93672786C9D9D59749CE22C07058B7AF9428651760C4700F1EE93B","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Competências_ Bem-estar.pdf","DORA _ Competências_ Bem-estar.pdf",".pdf","267024","2026-05-25 02:37:14","2026-05-25 02:37:14","06BFE1B41472C27F02AA6CD0C7E601923C3C1A5814112D6B34E185039983CE91","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Um histórico das métricas de entrega de software da DORA.pdf","DORA _ Um histórico das métricas de entrega de software da DORA.pdf",".pdf","297639","2026-05-25 02:38:14","2026-05-25 02:38:14","F819914444B1643B493D58E5B577EB76360B0C16D14129F5AD7D3A1AA805F82D","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Modern Software Engineering - Google Books.pdf","Modern Software Engineering - Google Books.pdf",".pdf","328059","2026-05-25 02:42:13","2026-05-25 02:42:13","21166DC48B5F2DA2C53A29C2CFB6E4D933930D825D9412182752C7C442A7038C","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Escolhendo estruturas de medição que se adequem aos objetivos da sua organização.pdf","DORA _ Escolhendo estruturas de medição que se adequem aos objetivos da sua organização.pdf",".pdf","490876","2026-05-25 02:44:33","2026-05-25 02:44:33","CB81AC9CED08CE48C4FCB17154EF4743A9AE10C78B4ABB61E3DC22AAE5348F84","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Goodhart's law - Wikipedia.pdf","Goodhart's law - Wikipedia.pdf",".pdf","357316","2026-05-25 02:45:10","2026-05-25 02:45:10","1A4BAC51559B1CABADFB7F030FF14544554B78FC164C83487682A48DBA0895E9","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Mapeamento do fluxo de valor para entrega de software.pdf","DORA _ Mapeamento do fluxo de valor para entrega de software.pdf",".pdf","6007188","2026-05-25 02:50:06","2026-05-25 02:50:06","8F780DDF8B001A719F0624465BD6D210E7E55525DBFDC3C396130B399F317BF1","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Engenharia de Fluxo - Revolução da TI.pdf","Engenharia de Fluxo - Revolução da TI.pdf",".pdf","761565","2026-05-25 02:50:31","2026-05-25 02:50:31","DF2192F840DB3A64D76E72F2182B9F3C3F835AB662CE2E3276F3643A5D314D23","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\FLOW Engineering _FLEN_Excerpt.pdf","FLOW Engineering _FLEN_Excerpt.pdf",".pdf","1264292","2026-05-25 02:50:56","2026-05-25 02:50:56","5CE389DE08D11FCD6BBE76EE3C0FE4101C9F28C3ECD0C1990EAEF12DE764074A","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\FLOW Engineering _FLEN_Reader's Guide.pdf","FLOW Engineering _FLEN_Reader's Guide.pdf",".pdf","245533","2026-05-25 02:52:35","2026-05-25 02:52:35","AD1C3BB382411C5AE16B7346FE8CBB854CAACA6B7096F612A68E27C856573E4A","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Flow Engineering_Quick Start Guide.pdf","Flow Engineering_Quick Start Guide.pdf",".pdf","507107","2026-05-25 02:53:15","2026-05-25 02:53:15","7E66138BB2FFEF01A0D77330E93C2733315480E89AA0D6B608B31C8B011D074F","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Flow-Engineering-Bonus-Map_Capability-Mapping.pdf","Flow-Engineering-Bonus-Map_Capability-Mapping.pdf",".pdf","126289","2026-05-25 02:53:29","2026-05-25 02:53:29","4120ABDBD1F74796921C60A1FA2790FF727E92349524FE4D61652B7E8C93E02C","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Flow-Engineering-Game.pdf","Flow-Engineering-Game.pdf",".pdf","140229","2026-05-25 02:53:55","2026-05-25 02:53:55","64446CA6188ABBC90D2753F161EE7386EF7A14209A99A87E16CF59D86BA94FEA","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Competências_ Qualidade da documentação.pdf","DORA _ Competências_ Qualidade da documentação.pdf",".pdf","302929","2026-05-25 02:55:28","2026-05-25 02:55:28","4D2753E7D30C9EA414A134B1E72934320A1DD70F26FF3E90B0F266E0205E71D4","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Recursos para redação técnica _ Redação técnica _ Google para desenvolvedores.pdf","Recursos para redação técnica _ Redação técnica _ Google para desenvolvedores.pdf",".pdf","229401","2026-05-25 02:57:46","2026-05-25 02:57:46","829D03C053B59D46CB26A44533456CA11A04E758B4546D540F5A976F22222713","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Análise detalhada do Relatório State of DevOps 2022 sobre documentação _ Blog do Google Cloud.pdf","Análise detalhada do Relatório State of DevOps 2022 sobre documentação _ Blog do Google Cloud.pdf",".pdf","1274562","2026-05-25 02:58:05","2026-05-25 02:58:05","B6892ABDF0738DBCEBFF88C48D9CD5C7940E93F39385A25E630492FBC3A15FAE","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\API Documentation _ SmartBear.pdf","API Documentation _ SmartBear.pdf",".pdf","190098","2026-05-25 02:58:48","2026-05-25 02:58:48","9001F9FF1AB7ADFB8D5ABC2DB79AA71C4321D453461753F98A32F915A5E74154","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\State-of-Quality-API-2023-Report.pdf","State-of-Quality-API-2023-Report.pdf",".pdf","3573650","2026-05-25 02:59:50","2026-05-25 02:59:52","498834639E832FA42C40A6F711E10FCB08F76CC29DCBBA7762B6A9664F675CB1","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Sobre este guia _ Guia de estilo de documentação para desenvolvedores do Google _ Google para desenvolvedores.pdf","Sobre este guia _ Guia de estilo de documentação para desenvolvedores do Google _ Google para desenvolvedores.pdf",".pdf","256793","2026-05-25 03:00:10","2026-05-25 03:00:10","76D9518B4F4CC0B0F5909FF25D19D9941BC8E3A33D0B15E3E5504E50F513C1AE","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Guia de Comunicação _ University of Oxford Style Guide 2026.docx","Guia de Comunicação _ University of Oxford Style Guide 2026.docx",".docx","110534","2026-05-25 03:01:42","2026-05-25 03:01:42","0837B649A9F2D2AD3EB3B203A4DF9362755BFE28CCE25965F4D40C0C6B89C17A","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\_Guia de Estilo de Escrita da Microsoft.pdf","_Guia de Estilo de Escrita da Microsoft.pdf",".pdf","15452970","2026-05-25 03:04:03","2026-05-25 03:04:03","390DCB6895D9B770663FD3EAB0FF883C6ECF560E04886D5D0DA782B926EDCA15","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Sumário – Documentação para Desenvolvedores.pdf","Sumário – Documentação para Desenvolvedores.pdf",".pdf","174160","2026-05-25 03:05:35","2026-05-25 03:05:35","7742F1EB2FB17248A8C1AAF59F570B54AD398ECE86B3E9E2BF543A738E4CE974","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\2021-dora-accelerate-state-of-devops-report.pdf","2021-dora-accelerate-state-of-devops-report.pdf",".pdf","3356215","2026-05-25 03:40:36","2026-05-25 03:40:36","6E48299E58300A359CBCBEC80423D52E6E2EEDAB2A791A126EAD0ECAAF261FFF","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Pesquisa DORA sobre Modelos de Equações Estruturais 2022.pdf","DORA _ Pesquisa DORA sobre Modelos de Equações Estruturais 2022.pdf",".pdf","447545","2026-05-25 03:41:38","2026-05-25 03:41:38","D777AA6D89918ECF17BBE35035072BCBAF5D13DD71D82BE7939096DCA7750302","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\2024-dora-accelerate-state-of-devops-report-ptbr.pdf","2024-dora-accelerate-state-of-devops-report-ptbr.pdf",".pdf","44045099","2026-05-25 03:43:23","2026-05-25 03:43:23","64B8F96BB9EDB3B6772CC23599A07D656BD604F7913BF7039AD6F3C423861DC3","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\2025-DORA-Report-Infographic.pdf","2025-DORA-Report-Infographic.pdf",".pdf","649223","2026-05-25 03:46:59","2026-05-25 03:46:59","BEA0808E54E9A0A7D2EE1E8F0EA60874C6960115F26329018EEEDA7401781F30","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Capacidades_ Ecossistemas de dados saudáveis.pdf","DORA _ Capacidades_ Ecossistemas de dados saudáveis.pdf",".pdf","351843","2026-05-25 03:48:22","2026-05-25 03:48:22","874BDD7F2D221600F6416A56DC9CB37E92E8CE11DC4F11AAEB6EFD16E83E1ABD","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\_2025_abridged_state_of_ai_assisted_software_development_pt-br.pdf","_2025_abridged_state_of_ai_assisted_software_development_pt-br.pdf",".pdf","11895376","2026-05-25 03:51:31","2026-05-25 03:51:31","2CAB5A8E02C0530F782A93B6D9830D00FB53A524808659EF5FA0B7514C99A06C","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Capacidades_ Integração contínua.pdf","DORA _ Capacidades_ Integração contínua.pdf",".pdf","331515","2026-05-25 03:52:17","2026-05-25 03:52:17","868824E612812B2CB044F17DDBBD8DBB51F0BBE0ED7E1B192D338FDB5468D54C","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\Integração Contínua ARTIGO.pdf","Integração Contínua ARTIGO.pdf",".pdf","1147128","2026-05-25 03:56:31","2026-05-25 03:56:31","E1C3F6ECAAAA43D1D4F1F5EABA3F740F810CFEE50B46C64098543A154E5A7412","B"
"G:\Meu Drive\0.1_MEU_CUMPADRE\0 0 Gestão Software\Documentação\LGPD _ ANDP-SCC\DPA Anthropic\DORA\DORA _ Capacidades_ Desenvolvimento baseado em tronco.pdf","DORA _ Capacidades_ Desenvolvimento baseado em tronco.pdf",".pdf","571851","2026-05-25 03:57:06","2026-05-25 03:57:06","465F848F7699EEBBAA1731A23BE7AF3911E47EDA42016962E2D985E8382479DA","B"
